order_id,product_id,category,warehouse_id,season,storage_type,perishable,fragile,on_hand_qty,avg_daily_sales,demand_std,lead_time_days,supplier_score,reorder_point,safety_stock,days_since_last_reorder,last_reorder_date,unit_weight_kg,unit_volume_m3,last_purchase_price,promotion,backorder_count,returns_rate,target_stockout_risk
O00454,P0187,Clothing,W3,Q3,Shelf,0,0,63.0,3.31,1.38,8.0,100.0,43,17,26,2025-10-19,20.718,0.1618,3.98,0,0,0.02,0
O00997,P0121,Chemicals,W5,Q4,Pallet,0,0,45.0,2.59,1.4,8.0,88.0,38,17,5,2025-11-09,18.845,0.2182,4.04,0,1,0.026,0
O00669,P0145,Accessories,W3,Q4,Shelf,0,1,29.0,3.39,2.34,7.0,88.0,49,25,25,2025-10-20,16.008,0.0869,1.53,0,0,0.038,1
O00248,P0135,Accessories,W5,Q1,Rack,0,1,61.0,11.47,4.06,8.0,79.0,141,49,5,2025-11-09,5.53,0.0006,4.46,1,2,0.021,1
O00614,P0088,Perishables,W1,Q4,Pallet,1,0,107.0,18.79,5.96,10.0,61.0,277,89,0,2025-11-14,5.534,0.1551,4.63,0,0,0.063,1
O00845,P0017,Hardware,W4,Q4,Rack,0,0,68.0,4.54,1.71,11.0,71.0,78,28,7,2025-11-07,9.578,0.405,6.31,0,0,0.011,1
O00705,P0175,Clothing,W2,Q4,Shelf,0,0,31.0,6.01,3.14,7.0,83.0,75,33,22,2025-10-23,24.25,0.3174,2.31,0,0,0.021,0
O00299,P0182,Accessories,W3,Q1,Shelf,0,1,79.0,8.86,4.34,9.0,85.0,139,59,3,2025-11-11,23.951,0.0172,1.05,1,1,0.023,1
O00102,P0116,Hardware,W4,Q4,Rack,0,0,52.0,5.66,1.01,11.0,78.0,79,17,13,2025-11-01,19.15,0.0799,2.61,1,1,0.028,1
O00903,P0084,Accessories,W1,Q4,Shelf,0,1,69.0,7.71,3.76,10.0,97.0,133,56,4,2025-11-10,3.725,0.2531,5.6,0,0,0.014,1
O00920,P0142,Clothing,W4,Q2,Shelf,0,0,38.0,8.59,2.35,8.0,80.0,97,28,9,2025-11-05,1.732,0.2326,0.94,0,0,0.039,1
O00214,P0090,Perishables,W2,Q1,Pallet,1,0,25.0,6.22,1.81,5.0,94.0,45,14,6,2025-11-08,1.781,0.0454,1.35,0,0,0.046,0
O00238,P0070,Clothing,W5,Q4,Pallet,0,0,8.0,1.44,0.15,9.0,72.0,15,2,10,2025-11-04,16.738,0.3994,2.93,0,1,0.043,1
O00596,P0026,Hardware,W1,Q3,Shelf,0,0,59.0,4.02,1.17,6.0,85.0,35,11,5,2025-11-09,4.289,0.1918,2.08,0,2,0.029,0
O00282,P0008,Clothing,W5,Q3,Shelf,0,0,51.0,6.81,3.17,6.0,98.0,70,29,1,2025-11-13,24.438,0.4267,0.64,0,0,0.006,1
O00871,P0047,Accessories,W2,Q3,Rack,0,0,4.0,2.15,1.54,4.0,94.0,18,9,6,2025-11-08,2.331,0.0803,2.14,1,0,0.018,1
O00287,P0064,Hardware,W1,Q3,Pallet,0,0,49.0,4.89,0.46,10.0,92.0,56,7,3,2025-11-11,6.007,0.1072,10.17,0,0,0.013,1
O00923,P0149,Clothing,W1,Q3,Pallet,0,0,51.0,5.28,4.96,8.0,87.0,102,60,18,2025-10-27,4.67,0.2776,1.27,0,2,0.042,1
O00888,P0176,Accessories,W1,Q4,Shelf,0,0,24.0,4.41,0.32,9.0,62.0,44,4,16,2025-10-29,7.462,0.1073,7.27,0,1,0.032,1
O00465,P0062,Electronics,W2,Q4,Pallet,0,1,61.0,4.65,2.58,9.0,85.0,77,35,10,2025-11-04,15.737,0.2217,10.49,0,0,0.023,0
O00797,P0169,Hardware,W5,Q2,Rack,0,0,59.0,5.06,3.11,7.0,79.0,68,33,5,2025-11-09,14.596,0.074,3.13,0,1,0.026,0
O00097,P0078,Chemicals,W5,Q1,Pallet,0,0,31.0,2.18,0.5,9.0,69.0,27,7,14,2025-10-31,0.745,0.373,2.32,0,0,0.009,0
O00245,P0160,Clothing,W1,Q4,Pallet,0,0,63.0,4.89,2.99,11.0,83.0,103,49,12,2025-11-02,2.859,0.2042,2.88,0,1,0.022,1
O00890,P0083,Hardware,W2,Q3,Shelf,0,0,84.0,9.33,3.39,9.0,92.0,130,46,1,2025-11-13,11.255,0.1782,1.74,0,1,0.018,1
O00077,P0119,Chemicals,W5,Q3,Rack,0,0,,,0.17,,,10,3,5,2025-11-09,2.473,0.091,3.4,0,2,0.026,0
O00902,P0148,Hardware,W5,Q4,Pallet,0,0,49.0,1.43,0.6,6.0,83.0,14,5,5,2025-11-09,20.215,0.3852,4.23,0,0,0.007,0
O00210,P0075,Electronics,W4,Q3,Pallet,0,1,50.0,2.7,1.36,6.0,95.0,28,12,1,2025-11-13,18.462,0.1444,2.97,0,1,0.029,0
O00260,P0091,Accessories,W4,Q1,Shelf,0,1,60.0,4.09,2.58,11.0,74.0,88,43,28,2025-10-17,15.599,0.3709,2.28,0,2,0.019,1
O00159,P0028,Hardware,W4,Q3,Rack,0,0,52.0,6.04,2.64,8.0,80.0,80,32,9,2025-11-05,16.23,0.1341,5.2,0,1,0.009,0
O00740,P0185,Perishables,W4,Q3,Shelf,1,0,64.0,6.66,0.79,7.0,95.0,55,8,17,2025-10-28,10.18,0.4924,3.9,0,2,0.056,0
O00433,P0053,Hardware,W1,Q3,Rack,0,0,89.0,13.55,6.91,9.0,92.0,215,93,2,2025-11-12,1.056,0.101,1.8,0,0,0.01,0
O00332,P0134,Clothing,W1,Q2,Rack,0,0,91.0,11.93,4.21,7.0,76.0,128,44,15,2025-10-30,11.094,0.2429,1.75,0,0,0.033,0
O00957,P0200,Electronics,W5,Q1,Pallet,0,1,54.0,2.17,1.39,6.0,90.0,26,13,0,2025-11-14,22.044,0.3661,14.96,0,0,0.035,0
O00315,P0121,Electronics,W2,Q2,Pallet,0,1,58.0,5.29,2.93,7.0,85.0,68,31,1,2025-11-13,13.463,0.2305,13.17,0,1,0.021,1
O00295,P0101,Perishables,W3,Q3,Rack,1,0,91.0,10.83,4.43,8.0,86.0,140,53,11,2025-11-03,16.573,0.3578,1.32,0,0,0.029,0
O00383,P0070,Clothing,W4,Q3,Pallet,0,0,38.0,2.14,0.27,4.0,76.0,11,2,20,2025-10-25,7.571,0.0477,1.12,0,1,0.014,0
O00389,P0091,Accessories,W1,Q3,Rack,0,0,6.0,2.77,2.12,7.0,78.0,41,22,16,2025-10-29,13.438,0.1395,4.39,0,0,0.009,1
O00576,P0054,Hardware,W5,Q4,Pallet,0,0,95.0,6.77,3.39,11.0,77.0,130,56,7,2025-11-07,12.16,0.1773,11.4,0,1,0.022,1
O00880,P0091,Electronics,W2,Q1,Shelf,0,1,50.0,7.26,1.79,8.0,59.0,79,21,3,2025-11-11,9.387,0.2484,13.89,0,1,0.029,1
O00443,P0034,Accessories,W4,Q1,Shelf,0,1,68.0,8.53,4.74,9.0,92.0,141,64,2,2025-11-12,4.571,0.4052,2.52,0,1,0.009,0
O00722,P0087,Clothing,W4,Q1,Rack,0,0,76.0,11.37,5.0,8.0,83.0,151,60,1,2025-11-13,14.352,0.4919,3.19,1,0,0.02,1
O00060,P0059,Hardware,W1,Q2,Rack,0,0,40.0,3.38,2.22,8.0,84.0,54,27,10,2025-11-04,13.523,0.39,3.36,0,0,0.016,0
O00679,P0038,Chemicals,W4,Q1,Shelf,0,0,,,1.82,,,34,19,5,2025-11-09,17.542,0.264,3.07,0,3,0.014,1
O00371,P0025,Accessories,W2,Q2,Pallet,0,0,44.0,8.1,3.36,5.0,79.0,66,25,6,2025-11-08,3.038,0.4014,6.29,0,0,0.02,1
O00483,P0060,Accessories,W4,Q3,Rack,0,1,86.0,8.77,3.48,9.0,90.0,126,47,2,2025-11-12,7.726,0.0216,0.94,1,0,0.027,1
O00382,P0060,Electronics,W3,Q4,Rack,0,0,67.0,9.41,4.49,8.0,75.0,129,54,8,2025-11-06,1.31,0.0179,5.22,1,0,0.037,1
O00055,P0011,Perishables,W2,Q2,Rack,1,0,176.0,20.5,14.68,14.0,75.0,595,308,4,2025-11-10,7.217,0.1485,1.79,1,0,0.04,1
O00024,P0079,Hardware,W1,Q1,Pallet,0,0,15.0,3.82,2.06,9.0,78.0,62,28,34,2025-10-11,13.101,0.3149,1.97,0,1,0.032,1
O00031,P0147,Accessories,W4,Q4,Pallet,0,0,31.0,3.62,0.01,9.0,69.0,33,0,16,2025-10-29,15.716,0.0413,2.48,1,2,0.018,1
O00881,P0043,Accessories,W5,Q2,Shelf,0,0,80.0,7.35,2.94,8.0,89.0,94,35,7,2025-11-07,12.946,0.4526,5.38,0,2,0.032,1
O00431,P0023,Clothing,W1,Q2,Pallet,0,0,101.0,10.59,4.68,9.0,77.0,158,63,2,2025-11-12,18.972,0.0115,1.02,0,1,0.034,0
O00011,P0069,Chemicals,W1,Q2,Rack,0,0,40.0,1.39,0.24,7.0,76.0,13,3,3,2025-11-11,4.91,0.4865,14.92,0,1,0.018,0
O00657,P0017,Chemicals,W5,Q1,Pallet,0,0,37.0,4.85,1.49,8.0,66.0,57,18,5,2025-11-09,5.806,0.0865,4.15,0,1,0.03,1
O00814,P0148,Accessories,W1,Q4,Pallet,0,1,39.0,5.42,3.4,6.0,99.0,64,31,10,2025-11-04,22.462,0.3151,4.79,0,0,0.025,1
O00484,P0025,Accessories,W2,Q4,Rack,0,1,80.0,8.91,4.38,9.0,75.0,139,59,16,2025-10-29,1.167,0.1486,0.24,1,0,0.015,1
O00544,P0122,Electronics,W2,Q4,Shelf,0,1,67.0,4.84,1.94,12.0,63.0,93,35,7,2025-11-07,20.36,0.3108,15.44,0,2,0.017,1
O00200,P0136,Hardware,W4,Q4,Shelf,0,0,43.0,4.82,2.11,9.0,61.0,71,28,6,2025-11-08,10.223,0.081,3.89,0,4,0.01,1
O00502,P0123,Accessories,W4,Q3,Shelf,0,1,26.0,3.42,0.59,7.0,72.0,30,6,5,2025-11-09,8.923,0.3956,3.07,1,0,0.024,1
O00941,P0167,Perishables,W3,Q3,Shelf,1,0,88.0,22.81,10.94,9.0,74.0,353,148,3,2025-11-11,12.879,0.2034,1.86,0,0,0.05,0
O00108,P0089,Clothing,W5,Q3,Shelf,0,0,80.0,7.78,4.3,9.0,91.0,128,58,11,2025-11-03,19.842,0.1587,2.33,0,2,0.015,1
O00219,P0020,Chemicals,W1,Q4,Rack,0,0,40.0,3.8,1.86,6.0,80.0,40,17,18,2025-10-27,3.957,0.0632,57.04,0,0,0.014,0
O00926,P0088,Accessories,W1,Q4,Shelf,0,0,47.0,4.83,1.44,8.0,97.0,56,17,10,2025-11-04,13.997,0.1815,0.93,0,1,0.028,1
O00175,P0040,Clothing,W1,Q4,Shelf,0,0,26.0,4.63,1.88,7.0,65.0,52,20,4,2025-11-10,20.555,0.3299,1.61,1,1,0.029,1
O00724,P0091,Accessories,W5,Q3,Pallet,0,1,36.0,7.34,2.18,10.0,71.0,106,33,3,2025-11-11,23.915,0.3946,4.09,0,1,0.016,1
O00882,P0181,Perishables,W1,Q4,Shelf,1,0,25.0,5.21,2.55,8.0,85.0,73,31,10,2025-11-04,10.71,0.4497,6.27,0,0,0.074,1
O00934,P0088,Electronics,W2,Q2,Rack,0,0,67.0,3.87,1.9,11.0,63.0,74,31,43,2025-10-02,6.629,0.051,22.12,0,1,0.013,1
O00395,P0111,Chemicals,W5,Q3,Pallet,0,0,31.0,1.56,0.78,10.0,66.0,28,12,1,2025-11-13,12.205,0.4104,36.33,0,1,0.021,0
O00040,P0123,Accessories,W5,Q1,Pallet,0,0,20.0,2.84,1.92,10.0,89.0,57,29,4,2025-11-10,4.581,0.4543,6.09,0,0,0.011,0
O00834,P0023,Chemicals,W4,Q2,Rack,0,0,44.0,6.08,4.11,9.0,79.0,110,55,3,2025-11-11,11.232,0.1294,8.42,0,0,0.017,0
O00774,P0051,Clothing,W1,Q2,Rack,0,0,71.0,7.72,2.42,9.0,78.0,102,33,2,2025-11-12,7.597,0.0663,3.94,0,0,0.026,0
O00352,P0107,Accessories,W5,Q4,Pallet,0,1,59.0,7.08,3.42,12.0,69.0,147,62,16,2025-10-29,7.403,0.2858,1.57,0,1,0.034,1
O00067,P0105,Perishables,W4,Q3,Rack,1,0,94.0,8.42,2.21,14.0,89.0,164,46,0,2025-11-14,1.556,0.1239,1.19,0,1,0.035,1
O00278,P0142,Perishables,W2,Q3,Rack,1,0,62.0,5.84,1.58,9.0,85.0,74,21,19,2025-10-26,7.657,0.0967,2.91,0,0,0.05,0
O00068,P0108,Chemicals,W4,Q2,Rack,0,0,58.0,3.6,1.08,11.0,58.0,58,18,12,2025-11-02,14.864,0.213,8.75,0,1,0.022,1
O00911,P0051,Hardware,W3,Q3,Shelf,0,0,49.0,4.61,2.0,9.0,100.0,68,27,5,2025-11-09,13.707,0.0315,3.19,0,0,0.025,0
O00440,P0125,Perishables,W5,Q1,Pallet,1,0,77.0,7.07,3.16,10.0,95.0,118,47,0,2025-11-14,3.302,0.155,1.1,0,0,0.037,1
O00737,P0147,Hardware,W5,Q2,Rack,0,0,31.0,4.83,1.58,11.0,72.0,79,26,6,2025-11-08,10.001,0.3753,2.34,0,2,0.042,1
O00297,P0122,Accessories,W4,Q2,Pallet,0,1,52.0,3.36,1.41,6.0,91.0,33,13,2,2025-11-12,4.746,0.0925,3.0,0,1,0.014,0
O00621,P0118,Chemicals,W5,Q2,Rack,0,0,35.0,2.37,0.67,10.0,59.0,34,10,1,2025-11-13,19.311,0.4705,5.16,1,1,0.016,0
O00491,P0183,Hardware,W3,Q1,Shelf,0,0,83.0,9.71,5.24,8.0,69.0,141,63,7,2025-11-07,21.921,0.4563,2.18,0,3,0.003,1
O00820,P0007,Perishables,W2,Q4,Shelf,1,0,62.0,5.28,1.63,9.0,72.0,70,22,8,2025-11-06,21.964,0.0983,3.38,0,0,0.028,1
O00559,P0090,Clothing,W3,Q4,Pallet,0,0,52.0,7.41,4.19,10.0,78.0,137,63,22,2025-10-23,11.906,0.4726,3.28,0,0,0.032,1
O00425,P0107,Chemicals,W4,Q2,Shelf,0,0,6.0,0.52,0.12,10.0,72.0,7,2,1,2025-11-13,18.675,0.4337,13.33,0,1,0.013,1
O00925,P0020,Chemicals,W5,Q3,Rack,0,0,55.0,2.81,0.57,10.0,68.0,37,9,8,2025-11-06,1.806,0.3649,5.31,1,4,0.011,1
O00313,P0036,Electronics,W5,Q2,Rack,0,1,108.0,11.2,6.12,11.0,69.0,224,101,22,2025-10-23,2.012,0.1326,23.97,0,1,0.013,1
O00185,P0158,Electronics,W5,Q4,Shelf,0,0,14.0,3.19,0.45,7.0,72.0,27,5,2,2025-11-12,20.235,0.0591,14.95,1,0,0.016,1
O00333,P0024,Accessories,W4,Q4,Pallet,0,1,31.0,1.79,0.29,4.0,83.0,9,2,9,2025-11-05,12.762,0.2731,5.53,0,0,0.019,0
O00089,P0119,Hardware,W1,Q4,Shelf,0,0,54.0,7.4,3.23,6.0,72.0,73,29,1,2025-11-13,13.722,0.2275,1.05,0,0,0.02,0
O00064,P0156,Accessories,W1,Q2,Shelf,0,1,67.0,6.39,0.82,7.0,83.0,54,9,8,2025-11-06,6.761,0.3989,2.11,0,0,0.017,0
O00835,P0040,Clothing,W3,Q3,Rack,0,0,57.0,6.45,3.48,10.0,79.0,116,52,0,2025-11-14,14.751,0.3611,3.0,0,1,0.007,1
O00577,P0023,Hardware,W5,Q4,Shelf,0,0,51.0,4.01,0.66,11.0,67.0,55,11,27,2025-10-18,18.43,0.2292,11.28,0,2,0.026,1
O00216,P0119,Accessories,W5,Q3,Shelf,0,0,66.0,5.85,1.31,12.0,86.0,94,24,25,2025-10-20,16.262,0.0522,2.01,0,0,0.029,1
O00616,P0169,Hardware,W1,Q3,Shelf,0,0,67.0,7.28,2.31,7.0,68.0,75,24,1,2025-11-13,17.255,0.2047,1.92,0,0,0.007,1
O00514,P0182,Accessories,W5,Q2,Shelf,0,0,,,2.21,,,77,30,26,2025-10-19,19.633,0.1004,0.68,0,0,0.026,1
O00291,P0127,Accessories,W4,Q1,Shelf,0,0,42.0,2.51,1.35,9.0,83.0,41,18,10,2025-11-04,11.486,0.2646,2.94,0,0,0.017,0
O00378,P0009,Hardware,W3,Q2,Pallet,0,0,66.0,9.66,6.04,7.0,90.0,131,63,6,2025-11-08,22.176,0.1895,1.99,0,0,0.022,1
O00892,P0004,Accessories,W5,Q1,Rack,0,1,26.0,2.11,0.72,5.0,89.0,16,5,4,2025-11-10,12.005,0.0936,3.62,0,0,0.019,0
O00970,P0028,Electronics,W4,Q2,Rack,0,1,30.0,3.79,1.51,9.0,89.0,54,20,9,2025-11-05,17.18,0.0884,24.87,0,0,0.004,0
O00947,P0031,Electronics,W5,Q4,Pallet,0,0,67.0,8.43,3.6,9.0,68.0,125,49,7,2025-11-07,5.005,0.216,5.19,0,0,0.034,1
O00787,P0164,Accessories,W4,Q2,Rack,0,0,121.0,13.22,0.69,10.0,80.0,142,10,1,2025-11-13,10.846,0.064,2.91,0,0,0.001,1
O00426,P0195,Hardware,W3,Q3,Pallet,0,0,22.0,1.95,0.53,9.0,80.0,25,7,7,2025-11-07,20.604,0.052,2.03,0,2,0.012,1
O00697,P0122,Accessories,W5,Q1,Pallet,0,1,78.0,8.18,3.19,9.0,84.0,117,43,5,2025-11-09,17.916,0.0552,7.34,0,0,0.017,1
O00996,P0152,Hardware,W5,Q4,Pallet,0,0,70.0,13.92,4.14,10.0,90.0,201,62,11,2025-11-03,1.214,0.1256,7.67,1,0,0.012,1
O00310,P0174,Accessories,W4,Q3,Shelf,0,0,85.0,13.21,3.52,11.0,83.0,203,58,5,2025-11-09,6.495,0.4336,1.51,0,1,0.006,1
O00087,P0104,Chemicals,W2,Q2,Shelf,0,0,60.0,7.23,2.8,7.0,82.0,80,29,1,2025-11-13,6.093,0.051,5.42,0,0,0.022,0
O00732,P0089,Clothing,W2,Q1,Shelf,0,0,124.0,19.88,5.29,8.0,88.0,222,63,11,2025-11-03,23.778,0.2431,2.41,0,0,0.013,1
O00756,P0120,Accessories,W3,Q4,Rack,0,1,59.0,2.29,1.33,7.0,78.0,30,14,27,2025-10-18,14.674,0.1494,3.76,0,0,0.023,0
O00311,P0074,Chemicals,W1,Q4,Shelf,0,0,45.0,0.65,0.21,14.0,41.0,13,4,24,2025-10-21,6.735,0.4762,43.49,0,1,0.026,0
O00539,P0021,Chemicals,W4,Q2,Pallet,0,0,79.0,12.19,0.17,7.0,66.0,87,2,25,2025-10-20,16.585,0.0549,6.44,0,0,0.011,1
O00137,P0024,Hardware,W1,Q1,Shelf,0,0,,,2.55,,,70,31,2,2025-11-12,9.249,0.1852,7.3,0,1,0.017,1
O00959,P0162,Chemicals,W1,Q3,Shelf,0,0,49.0,9.66,7.08,9.0,68.0,183,96,3,2025-11-11,3.711,0.0274,11.38,0,2,0.015,1
O01000,P0024,Electronics,W4,Q3,Rack,0,1,68.0,6.73,2.65,9.0,69.0,97,36,18,2025-10-27,1.545,0.0913,4.3,0,2,0.006,1
O00729,P0127,Accessories,W1,Q1,Rack,0,0,35.0,2.63,0.2,12.0,73.0,36,4,0,2025-11-14,0.917,0.2346,1.2,0,2,0.017,1
O00262,P0113,Electronics,W2,Q2,Pallet,0,0,87.0,12.42,6.84,9.0,69.0,204,92,1,2025-11-13,18.217,0.2403,2.86,0,4,0.014,1
O00548,P0083,Perishables,W4,Q1,Rack,1,0,63.0,5.92,2.05,14.0,72.0,126,43,6,2025-11-08,6.332,0.1855,13.57,0,0,0.047,1
O00169,P0004,Perishables,W5,Q4,Pallet,1,0,73.0,15.29,6.9,7.0,100.0,179,72,11,2025-11-03,5.196,0.1962,2.45,0,0,0.042,0
O00791,P0009,Hardware,W1,Q2,Shelf,0,0,36.0,6.95,2.97,10.0,69.0,114,45,13,2025-11-01,14.089,0.0421,2.09,1,0,0.013,1
O00449,P0003,Electronics,W3,Q4,Pallet,0,0,89.0,15.29,2.48,8.0,73.0,152,30,2,2025-11-12,16.024,0.351,14.29,1,1,0.018,1
O00140,P0154,Accessories,W2,Q3,Pallet,0,0,47.0,3.95,1.3,9.0,86.0,54,18,4,2025-11-10,9.325,0.0012,1.72,0,0,0.022,1
O00686,P0113,Hardware,W2,Q3,Pallet,0,0,40.0,7.21,3.99,8.0,85.0,106,48,36,2025-10-09,0.478,0.4739,3.75,0,0,0.016,0
O00667,P0168,Hardware,W1,Q1,Shelf,0,0,20.0,3.66,0.18,5.0,94.0,19,1,2,2025-11-12,18.413,0.0044,8.56,0,0,0.022,0
O00858,P0014,Clothing,W3,Q4,Shelf,0,0,22.0,1.51,1.02,7.0,89.0,22,11,0,2025-11-14,8.043,0.0983,3.73,0,0,0.024,0
O00519,P0023,Chemicals,W3,Q1,Shelf,0,0,68.0,7.61,3.53,12.0,50.0,155,64,3,2025-11-11,14.352,0.0426,11.93,0,1,0.029,1
O00930,P0074,Clothing,W1,Q1,Pallet,0,0,80.0,7.4,1.63,11.0,64.0,108,27,6,2025-11-08,11.23,0.4867,2.76,0,2,0.009,1
O00534,P0039,Chemicals,W1,Q3,Pallet,0,0,56.0,3.32,2.27,12.0,65.0,81,41,4,2025-11-10,7.544,0.3202,13.85,0,3,0.023,1
O00056,P0200,Accessories,W4,Q2,Rack,0,0,33.0,2.29,0.82,10.0,86.0,35,12,9,2025-11-05,4.217,0.4956,6.91,0,0,0.036,1
O00121,P0142,Electronics,W2,Q4,Pallet,0,1,53.0,2.78,0.56,9.0,57.0,33,8,0,2025-11-14,8.902,0.3767,19.71,0,1,0.032,0
O00531,P0102,Clothing,W4,Q3,Rack,0,0,11.0,2.62,1.35,9.0,82.0,42,18,6,2025-11-08,21.177,0.3006,4.43,0,0,0.007,1
O00026,P0156,Clothing,W2,Q2,Rack,0,0,101.0,8.65,4.67,11.0,87.0,172,77,0,2025-11-14,9.443,0.4054,2.45,0,1,0.003,1
O00073,P0038,Electronics,W1,Q4,Pallet,0,0,107.0,11.8,3.18,10.0,69.0,166,48,1,2025-11-13,17.331,0.3353,8.33,1,3,0.024,1
O00045,P0145,Electronics,W1,Q2,Rack,0,0,44.0,11.11,3.28,6.0,87.0,97,30,1,2025-11-13,6.117,0.289,10.93,0,2,0.009,1
O00250,P0089,Hardware,W1,Q3,Rack,0,0,26.0,3.59,1.43,12.0,77.0,69,26,48,2025-09-27,21.445,0.0491,3.45,1,1,0.027,1
O00405,P0174,Chemicals,W4,Q4,Shelf,0,0,17.0,3.12,1.29,7.0,68.0,36,14,0,2025-11-14,16.21,0.0442,13.34,1,2,0.014,1
O00848,P0117,Electronics,W2,Q4,Rack,0,0,43.0,8.03,4.0,10.0,72.0,140,60,10,2025-11-04,23.657,0.1128,27.73,0,0,0.028,0
O00704,P0167,Accessories,W3,Q4,Shelf,0,0,70.0,5.36,2.52,9.0,77.0,82,34,2,2025-11-12,9.567,0.1784,5.6,0,0,0.03,0
O00919,P0107,Clothing,W5,Q2,Shelf,0,0,106.0,20.19,6.4,9.0,86.0,268,86,7,2025-11-07,8.063,0.2119,1.76,0,1,0.011,1
O00199,P0037,Accessories,W4,Q2,Pallet,0,0,9.0,2.9,1.54,4.0,98.0,21,9,2,2025-11-12,2.163,0.2336,7.29,1,0,0.019,1
O00543,P0074,Accessories,W3,Q3,Shelf,0,1,40.0,1.64,0.94,8.0,82.0,24,11,15,2025-10-30,9.455,0.0506,5.48,0,3,0.023,0
O00356,P0004,Hardware,W2,Q1,Rack,0,0,60.0,5.4,1.55,4.0,89.0,31,9,45,2025-09-30,1.416,0.1778,4.46,0,0,0.0,0
O00324,P0123,Perishables,W2,Q3,Pallet,1,0,143.0,19.93,4.46,10.0,73.0,266,67,16,2025-10-29,11.686,0.1812,1.73,0,0,0.045,1
O00650,P0167,Hardware,W3,Q1,Rack,0,0,19.0,6.56,2.46,6.0,84.0,61,22,6,2025-11-08,19.841,0.0755,3.6,0,1,0.033,0
O00917,P0172,Hardware,W2,Q1,Pallet,0,0,67.0,5.87,0.93,9.0,87.0,66,13,6,2025-11-08,6.133,0.1749,6.05,1,0,0.021,0
O00236,P0155,Hardware,W3,Q4,Pallet,0,0,105.0,18.46,9.75,10.0,61.0,331,146,0,2025-11-14,15.661,0.2755,3.0,0,1,0.02,1
O00581,P0099,Accessories,W5,Q2,Shelf,0,1,32.0,8.02,4.52,10.0,81.0,148,68,16,2025-10-29,0.883,0.046,2.43,0,0,0.016,0
O00950,P0199,Electronics,W4,Q3,Shelf,0,0,62.0,12.68,3.24,8.0,80.0,140,39,31,2025-10-14,17.29,0.3548,24.94,0,1,0.017,1
O00944,P0173,Electronics,W1,Q4,Pallet,0,1,46.0,9.67,1.48,7.0,81.0,84,16,21,2025-10-24,1.421,0.3764,34.89,0,0,0.027,1
O00908,P0104,Electronics,W5,Q4,Pallet,0,1,70.0,11.37,1.47,7.0,87.0,95,15,3,2025-11-11,5.674,0.2025,11.99,0,1,0.025,0
O00300,P0107,Accessories,W3,Q1,Rack,0,0,24.0,2.49,1.43,7.0,84.0,32,15,5,2025-11-09,24.603,0.1465,2.72,0,0,0.029,0
O00061,P0018,Perishables,W3,Q4,Rack,1,0,90.0,11.34,6.97,11.0,75.0,240,115,4,2025-11-10,15.542,0.0233,1.2,0,4,0.056,1
O00328,P0076,Perishables,W5,Q2,Pallet,1,0,37.0,11.0,0.69,8.0,86.0,96,8,1,2025-11-13,10.054,0.1757,4.65,0,0,0.046,1
O00932,P0152,Chemicals,W2,Q4,Rack,0,0,35.0,2.06,0.75,9.0,59.0,29,10,21,2025-10-24,2.052,0.0707,12.27,0,1,0.024,0
