product_id,product_name,supplier,category,warehouse_location,date_added,discontinued,price_USD,stock_level,weight_kg,length_cm,width_cm,height_cm,demand_30,demand_365,lead_time_days,return_rate_pct,defect_rate_pct,shelf_life_days
P0027,Product_P0027,Supplier_12,Home,Center,2024-06-29,0,39.03,75,1.845,14.69,8.37,5.05,26,132,2,0.188,0.067,61
P0044,Product_P0044,Supplier_4,Home,West,2024-09-11,0,16.73,29,0.207,3.29,2.83,1.43,9,35,3,1.897,0.686,23
P0007,Product_P0007,Supplier_7,Tools,Center,2025-01-12,0,13.31,40,0.01,1.0,0.5,0.2,0,40,2,0.778,0.187,2
P0033,Product_P0033,Supplier_17,Tools,South,2023-06-02,0,14.71,52,0.01,1.0,0.5,0.2,0,28,5,0.745,0.179,22
P0009,Product_P0009,Supplier_1,Tools,East,2025-03-27,0,35.27,61,1.301,14.45,5.43,6.24,18,110,4,1.907,0.815,38
P0030,Product_P0030,Supplier_14,Tools,East,2022-09-16,0,24.75,57,0.277,4.29,3.61,3.78,6,68,4,0.452,0.023,40
P0018,Product_P0018,Supplier_15,Home,East,2024-05-07,0,14.49,43,0.01,1.0,0.5,0.2,0,0,4,0.0,0.0,17
P0056,Product_P0056,Supplier_12,Electronics,North,2023-10-03,1,25.25,55,0.658,10.48,3.71,1.91,16,106,1,1.156,0.104,28
P0026,Product_P0026,Supplier_12,Food,Center,2024-09-07,0,19.36,43,0.429,4.69,1.14,1.79,5,64,4,0.184,0.191,27
P0020,Product_P0020,Supplier_6,Home,Center,2023-07-27,0,33.7,62,1.178,16.04,7.81,3.6,15,105,2,0.514,0.15,46
P0038,Product_P0038,Supplier_13,Tools,North,2024-07-29,0,13.7,29,0.01,1.0,0.5,0.2,0,21,3,1.175,0.201,21
P0041,Product_P0041,Supplier_16,Clothing,South,2025-01-21,0,16.35,53,0.01,4.85,0.5,1.09,0,37,3,0.106,0.07,26
P0055,Product_P0055,Supplier_14,Health,East,2024-05-28,0,19.53,41,0.01,4.53,0.97,1.41,1,25,4,1.521,0.506,23
P0031,Product_P0031,Supplier_7,Food,East,2024-07-20,0,1.0,25,0.01,1.0,0.5,0.2,0,0,3,0.77,0.041,7
P0008,Product_P0008,Supplier_16,Electronics,North,2022-03-22,1,24.8,59,0.286,12.93,4.96,0.94,11,39,4,1.255,0.406,35
P0023,Product_P0023,Supplier_9,Food,East,2022-09-03,0,16.06,56,0.01,3.36,2.3,0.2,4,48,2,0.0,0.0,40
P0050,Product_P0050,Supplier_14,Health,West,2025-03-15,0,22.33,43,0.472,4.94,3.65,1.87,7,70,4,1.396,0.421,35
P0025,Product_P0025,Supplier_7,Tools,Center,2024-04-11,0,18.48,45,0.01,1.0,1.44,0.2,1,38,3,0.671,0.42,18
P0047,Product_P0047,Supplier_12,Health,East,2023-11-05,0,3.83,29,0.01,1.0,0.5,0.2,0,0,2,1.305,0.15,9
P0001,Product_P0001,Supplier_3,Tools,East,2023-03-17,0,4.93,56,0.01,1.0,0.5,0.2,0,0,1,0.0,0.0,16
P0046,Product_P0046,Supplier_14,Tools,West,2022-02-23,0,24.02,38,0.132,6.22,2.22,2.31,0,34,3,2.163,1.101,29
P0018,Product_P0018,Supplier_19,Home,South,2023-03-19,0,11.49,38,0.01,1.0,0.5,0.2,0,13,4,0.0,0.133,5
P0019,Product_P0019,Supplier_11,Clothing,South,2023-08-22,0,21.08,45,0.126,6.97,1.13,0.65,3,66,4,1.62,0.38,31
P0051,Product_P0051,Supplier_5,Home,West,2022-09-11,0,22.39,61,0.567,5.59,0.5,1.06,6,23,2,0.0,0.38,45
P0042,Product_P0042,Supplier_13,Electronics,South,2022-07-27,0,43.87,73,2.701,17.32,12.12,7.78,35,161,3,0.123,0.73,68
P0052,Product_P0052,Supplier_10,Electronics,North,2023-09-03,0,21.08,57,0.01,4.2,2.59,1.0,4,38,5,0.074,0.0,31
P0053,Product_P0053,Supplier_7,Home,West,2023-12-05,0,20.86,51,0.415,1.2,3.87,2.47,7,53,3,0.0,0.184,39
P0006,Product_P0006,Supplier_17,Home,Center,2022-10-15,1,25.31,42,0.44,8.56,4.42,2.72,14,38,3,1.312,0.48,26
P0017,Product_P0017,Supplier_16,Clothing,Center,2023-12-06,0,1.0,18,0.01,1.0,0.5,0.2,0,0,3,1.063,0.0,1
P0046,Product_P0046,Supplier_8,Home,Center,2024-12-16,1,19.14,61,0.01,5.51,0.5,1.54,11,70,4,0.84,0.175,31
P0045,Product_P0045,Supplier_17,Health,East,2023-07-22,0,25.68,48,0.565,9.68,1.24,2.76,6,62,3,1.558,0.468,30
P0008,Product_P0008,Supplier_13,Home,West,2024-10-25,0,48.57,81,2.608,23.7,13.39,8.55,41,170,4,0.894,0.22,78
P0054,Product_P0054,Supplier_11,Tools,West,2025-01-17,0,20.72,46,0.01,5.85,0.5,0.56,2,39,3,1.859,0.0,21
P0042,Product_P0042,Supplier_20,Electronics,South,2022-04-21,1,24.06,56,0.383,7.2,3.75,2.94,11,78,4,0.522,0.378,34
P0009,Product_P0009,Supplier_18,Home,West,2022-04-25,1,26.39,49,0.907,12.55,3.49,4.21,13,80,4,3.13,1.16,28
P0037,Product_P0037,Supplier_5,Electronics,West,2023-07-26,0,2.79,29,0.01,1.0,0.5,0.2,0,0,3,0.547,0.44,5
P0055,Product_P0055,Supplier_6,Clothing,South,2023-12-07,0,33.17,60,1.501,12.82,7.68,4.53,19,131,2,0.125,0.0,53
P0027,Product_P0027,Supplier_20,Food,West,2023-05-27,0,30.58,62,1.135,14.28,7.03,5.24,15,117,2,1.521,0.393,56
P0036,Product_P0036,Supplier_14,Electronics,West,2023-01-27,0,32.33,52,1.233,12.45,8.65,2.55,27,108,4,1.164,0.207,38
P0006,Product_P0006,Supplier_12,Home,North,2024-02-09,1,12.58,29,0.01,1.0,0.5,0.2,0,17,3,0.735,0.616,12
P0006,Product_P0006,Supplier_4,Electronics,South,2022-01-03,0,40.18,69,1.604,16.42,10.28,6.29,29,139,3,0.501,0.609,61
P0045,Product_P0045,Supplier_7,Food,North,2025-03-07,0,1.0,31,0.01,1.0,0.5,0.2,0,0,2,0.0,0.0,5
P0004,Product_P0004,Supplier_11,Food,East,2022-10-06,0,32.41,57,1.485,15.32,6.49,4.62,17,116,4,1.848,1.218,41
P0022,Product_P0022,Supplier_20,Electronics,South,2025-01-05,0,41.3,86,1.96,16.59,12.64,6.66,32,167,2,0.0,0.0,72
P0040,Product_P0040,Supplier_2,Home,West,2022-05-11,0,7.49,32,0.01,1.0,0.5,0.2,0,0,3,1.386,0.267,14
P0027,Product_P0027,Supplier_4,Health,West,2022-10-13,0,13.84,44,0.01,1.0,0.5,0.2,0,0,4,0.0,0.0,19
P0037,Product_P0037,Supplier_7,Home,North,2022-10-09,0,20.03,53,0.121,6.07,2.2,1.7,7,40,4,0.0,0.277,30
P0002,Product_P0002,Supplier_1,Tools,North,2025-04-10,0,17.56,41,0.01,4.18,0.5,0.56,0,48,3,1.121,0.0,11
P0009,Product_P0009,Supplier_15,Home,East,2022-01-06,0,2.07,26,0.01,1.0,0.5,0.2,0,0,5,0.667,0.481,1
P0011,Product_P0011,Supplier_20,Clothing,East,2024-02-07,0,22.1,54,0.26,5.94,3.55,3.17,4,65,3,1.41,0.498,26
P0020,Product_P0020,Supplier_8,Health,West,2024-11-09,0,13.82,29,0.01,1.0,0.5,0.2,0,20,2,1.8,1.093,5
P0052,Product_P0052,Supplier_5,Health,Center,2024-03-17,0,29.06,58,0.789,9.8,7.11,3.02,12,101,4,0.755,0.195,39
P0043,Product_P0043,Supplier_14,Food,East,2023-03-12,0,8.0,28,0.01,1.0,0.5,0.2,0,5,3,0.29,0.123,14
P0039,Product_P0039,Supplier_18,Tools,West,2025-02-23,0,40.81,72,1.752,20.17,10.76,6.03,28,110,4,1.504,0.625,71
P0058,Product_P0058,Supplier_3,Tools,East,2024-12-08,0,14.1,36,0.01,1.0,0.5,0.2,0,3,3,1.137,0.723,12
P0014,Product_P0014,Supplier_2,Home,South,2023-06-05,0,13.24,53,0.01,1.0,0.5,0.2,0,0,3,0.0,0.0,26
P0026,Product_P0026,Supplier_16,Health,North,2023-11-19,0,32.67,57,1.166,11.53,4.84,3.45,21,86,2,1.384,0.0,49
P0038,Product_P0038,Supplier_14,Food,West,2025-03-07,0,7.08,24,0.01,1.0,0.5,0.2,0,0,4,1.109,0.434,14
P0030,Product_P0030,Supplier_16,Tools,East,2025-03-25,1,22.79,52,0.259,1.0,2.02,1.43,7,35,2,0.283,0.072,37
P0036,Product_P0036,Supplier_11,Electronics,North,2023-06-24,0,42.28,69,1.828,18.72,9.31,5.94,30,158,2,2.029,0.585,51
P0038,Product_P0038,Supplier_17,Tools,Center,2024-10-13,0,1.0,30,0.01,1.0,0.5,0.2,0,0,3,0.314,0.309,1
P0035,Product_P0035,Supplier_3,Health,East,2022-12-29,0,23.1,50,0.551,3.34,2.52,1.35,5,87,5,0.569,0.251,35
P0055,Product_P0055,Supplier_5,Tools,West,2023-03-23,0,20.28,59,0.536,7.39,4.39,1.29,9,85,3,0.102,0.0,33
P0006,Product_P0006,Supplier_3,Electronics,South,2022-07-17,0,25.75,63,0.942,12.23,5.9,1.99,19,107,4,0.548,0.0,39
P0003,Product_P0003,Supplier_15,Electronics,North,2022-09-09,0,2.16,34,0.01,1.0,0.5,0.2,0,0,4,0.078,0.0,1
P0001,Product_P0001,Supplier_5,Home,North,2024-02-28,0,1.0,33,0.01,1.0,0.5,0.2,0,0,3,0.013,0.11,5
P0060,Product_P0060,Supplier_3,Health,South,2023-09-05,0,30.26,56,0.809,14.78,6.84,3.49,12,66,3,1.371,0.912,48
P0058,Product_P0058,Supplier_6,Health,West,2022-10-05,0,21.09,59,0.345,4.38,1.8,1.51,5,75,2,0.0,0.0,36
P0053,Product_P0053,Supplier_14,Health,Center,2023-04-29,0,19.91,69,0.591,6.59,2.62,1.45,6,52,1,0.203,0.0,38
P0058,Product_P0058,Supplier_2,Food,South,2023-03-24,0,19.69,59,0.01,5.38,0.5,0.42,1,38,2,0.0,0.0,34
P0018,Product_P0018,Supplier_18,Clothing,Center,2025-03-30,0,10.06,44,0.01,1.0,0.5,0.2,0,0,4,0.0,0.205,10
P0023,Product_P0023,Supplier_6,Clothing,West,2024-10-21,0,17.74,56,0.01,5.8,0.5,1.05,0,0,2,0.173,0.0,38
P0032,Product_P0032,Supplier_5,Tools,East,2023-04-11,0,29.7,44,1.032,9.53,6.55,3.02,14,60,4,0.984,0.831,32
P0029,Product_P0029,Supplier_14,Food,East,2025-01-01,0,14.02,35,0.01,1.0,0.5,0.2,1,46,2,1.693,0.457,17
P0023,Product_P0023,Supplier_17,Tools,West,2023-02-16,0,41.05,83,1.869,21.02,10.72,6.27,26,129,3,0.0,0.318,66
P0036,Product_P0036,Supplier_11,Clothing,Center,2024-03-12,0,31.67,64,1.031,11.29,5.83,4.77,17,92,4,3.103,1.14,44
P0006,Product_P0006,Supplier_1,Electronics,South,2025-03-05,0,7.91,26,0.01,1.0,0.5,0.2,0,13,3,0.281,0.879,1
P0017,Product_P0017,Supplier_10,Home,West,2023-04-14,1,27.13,56,0.466,8.86,3.98,3.65,17,116,3,0.775,0.0,44
P0018,Product_P0018,Supplier_9,Food,West,2024-03-26,1,1.0,45,0.01,1.0,0.5,0.2,0,4,2,0.0,0.0,8
P0031,Product_P0031,Supplier_20,Health,East,2022-12-22,0,37.08,44,1.711,15.31,9.74,5.2,22,92,4,1.937,0.977,43
P0006,Product_P0006,Supplier_12,Tools,South,2022-11-16,0,29.42,73,0.775,12.86,7.07,3.85,18,56,3,0.0,0.0,34
P0034,Product_P0034,Supplier_1,Electronics,East,2023-11-20,0,2.67,43,0.01,1.0,0.5,0.2,0,40,3,0.0,0.003,23
P0044,Product_P0044,Supplier_18,Health,Center,2025-03-21,0,34.26,66,1.725,13.06,5.92,5.5,14,153,5,0.594,0.454,50
P0044,Product_P0044,Supplier_12,Food,Center,2023-06-28,0,33.28,53,1.076,12.46,10.58,4.24,20,98,4,1.971,1.058,36
P0027,Product_P0027,Supplier_2,Tools,North,2025-01-30,0,33.43,56,1.581,17.86,9.87,3.63,25,79,3,1.919,0.737,42
P0036,Product_P0036,Supplier_1,Clothing,West,2025-01-02,0,43.86,78,2.201,20.96,13.03,6.36,34,170,3,0.203,0.432,67
P0048,Product_P0048,Supplier_1,Tools,South,2022-11-01,0,20.28,40,0.065,6.28,0.58,0.98,0,41,3,0.664,0.31,29
P0052,Product_P0052,Supplier_1,Tools,South,2023-04-28,0,12.53,29,0.01,1.0,0.5,0.2,0,18,3,2.579,0.952,5
P0042,Product_P0042,Supplier_12,Food,East,2024-02-11,0,9.47,35,0.01,1.0,0.5,0.2,0,31,6,0.444,0.273,10
P0025,Product_P0025,Supplier_7,Electronics,East,2023-09-14,0,10.8,30,0.01,1.0,0.5,0.2,0,19,3,1.285,0.588,23
P0010,Product_P0010,Supplier_4,Electronics,South,2022-04-26,0,18.6,46,0.072,4.23,2.05,1.36,6,23,1,0.32,0.461,23
P0039,Product_P0039,Supplier_20,Electronics,East,2025-04-07,0,22.48,51,0.262,8.82,2.69,1.05,11,60,2,0.691,0.567,37
P0046,Product_P0046,Supplier_4,Home,North,2024-06-22,0,20.65,60,0.363,8.61,1.91,2.08,5,70,1,0.385,0.0,48
P0039,Product_P0039,Supplier_15,Electronics,West,2023-06-10,0,30.2,73,0.907,11.83,7.14,2.94,15,99,3,0.612,0.051,47
P0012,Product_P0012,Supplier_1,Home,North,2024-01-12,0,14.77,50,0.01,4.43,1.95,0.62,0,40,1,0.0,0.0,33
P0011,Product_P0011,Supplier_6,Electronics,Center,2022-04-16,0,37.64,64,1.388,14.52,10.98,4.85,27,140,2,1.401,0.0,61
P0049,Product_P0049,Supplier_14,Home,South,2023-08-18,0,16.94,49,0.016,1.0,0.5,0.2,3,20,1,0.0,0.0,20
P0043,Product_P0043,Supplier_14,Home,North,2025-01-21,0,48.82,98,2.831,23.33,13.97,7.87,43,179,3,0.0,0.0,91
P0053,Product_P0053,Supplier_10,Electronics,North,2024-12-11,0,28.43,60,1.062,10.96,1.45,2.95,10,15,3,0.775,0.292,41
P0003,Product_P0003,Supplier_7,Clothing,East,2023-02-09,0,13.06,29,0.01,1.0,0.5,0.2,0,12,4,0.984,0.998,3
P0051,Product_P0051,Supplier_12,Clothing,East,2023-09-30,0,8.6,29,0.01,1.0,0.5,0.2,0,21,3,1.04,0.483,7
P0022,Product_P0022,Supplier_19,Electronics,East,2024-04-16,0,20.45,65,0.696,4.17,2.7,1.4,9,51,1,0.0,0.0,33
P0004,Product_P0004,Supplier_9,Clothing,Center,2023-02-13,0,13.23,55,0.01,1.52,0.5,0.2,0,20,3,0.0,0.0,27
P0008,Product_P0008,Supplier_3,Health,North,2022-03-19,0,32.21,48,0.99,13.78,5.11,3.88,27,74,5,2.214,0.725,41
P0014,Product_P0014,Supplier_4,Health,West,2023-08-30,0,26.0,59,0.521,2.89,3.86,0.23,5,84,3,0.0,0.0,47
P0020,Product_P0020,Supplier_13,Electronics,East,2023-12-23,0,17.33,51,0.307,8.26,2.12,0.91,0,55,3,0.96,0.068,32
P0024,Product_P0024,Supplier_10,Food,Center,2022-01-08,0,10.79,30,0.01,1.0,0.5,0.2,0,29,2,1.376,0.0,15
P0014,Product_P0014,Supplier_14,Home,Center,2022-04-25,0,1.0,38,0.01,1.0,0.5,0.2,0,0,2,0.0,0.0,1
P0028,Product_P0028,Supplier_6,Electronics,East,2022-09-06,0,15.26,39,0.01,1.93,0.62,0.2,0,25,3,0.335,0.426,18
P0016,Product_P0016,Supplier_8,Home,South,2023-02-22,0,26.75,68,0.521,9.52,4.19,1.0,12,74,4,0.0,0.0,36
P0032,Product_P0032,Supplier_19,Home,North,2023-10-12,0,23.06,58,0.135,5.47,2.26,1.63,9,49,3,0.0,0.04,32
P0047,Product_P0047,Supplier_10,Tools,East,2022-12-19,0,2.13,26,0.01,1.0,0.5,0.2,0,0,4,0.001,0.457,11
